Doc_ID,Doc_TitleDescription,Doc_NameID [NameAuthority::OfficialCombined] ,[NameAuthority::OfficialCombined] Reference,Doc_Photographer,Doc_Date,Doc_BeginDateFilter,Doc_EndDateFilter,Doc_Type,Doc_Source,Doc_Note,Doc_ObjectID [Object::Object_KressCatalogNumber...Object_Title…Object_ArtistNameID [NameAuthority::OfficialCombined]...Object_InstitutionNameID [NameAuthority::OfficialCombined]],Object_KressCatalogNumber reference,Object_Title Reference,Object_ArtistOfficalCombined Reference,Object_InstitutionOfficialCombined reference,Doc_DocumentFilename,Doc_RelatedObjectID,,
DOC02824,"K0168 - Alan Burroughs report, circa 1930s-1940s",NAM0130,"Burroughs, Alan",,circa 1930s-1940s,1930,1949,Alan Burroughs Report,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,2949,K0168,Madonna and Child with Angels,Guidoccio Cozzarelli (Guidoccio di Giovanni di Marco Cozzarelli),"Mead Art Museum, Amherst College",52A2_K0168_03_02824.pdf,2949,,
DOC02825,"K0168 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,Peter A. Juley & Son,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,2949,K0168,Madonna and Child with Angels,Guidoccio Cozzarelli (Guidoccio di Giovanni di Marco Cozzarelli),"Mead Art Museum, Amherst College",52A2_K0168_04_02825.pdf,2949,,
DOC02826,"K0168 - Photograph, circa 1930s-1960s",,,,circa 1930s-1960s,1930,1969,Photograph,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,2949,K0168,Madonna and Child with Angels,Guidoccio Cozzarelli (Guidoccio di Giovanni di Marco Cozzarelli),"Mead Art Museum, Amherst College",52A2_K0168_05_02826.pdf,2949,,
DOC02827,"K0311 - Expert opinion by Longhi, 1934",NAM0915,Longhi ,Murray Keyes,1934,1930,1934,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3411,K0311,The Adoration of the Child,Sano di Pietro (Ansano di Pietro di Mencio),"Mead Art Museum, Amherst College",52A2_K0311_02_02827.pdf,3411,,
DOC02828,"K0311 - Expert opinion by Berenson, circa 1920s-1950s",NAM0695,Berenson ,,circa 1920s-1950s,1920,1959,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3411,K0311,The Adoration of the Child,Sano di Pietro (Ansano di Pietro di Mencio),"Mead Art Museum, Amherst College",52A2_K0311_02_02828.pdf,3411,,
DOC02829,"K0311 - Expert opinion by Marle, circa 1920s-1930s",NAM0919,Marle ,,circa 1920s-1930s,1920,1939,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3411,K0311,The Adoration of the Child,Sano di Pietro (Ansano di Pietro di Mencio),"Mead Art Museum, Amherst College",52A2_K0311_02_02829.pdf,3411,,
DOC02830,"K0311 - Expert opinion by Fiocco, 1934",NAM0819,Fiocco ,,1934,1930,1934,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3411,K0311,The Adoration of the Child,Sano di Pietro (Ansano di Pietro di Mencio),"Mead Art Museum, Amherst College",52A2_K0311_02_02830.pdf,3411,,
DOC02831,"K0311 - Expert opinion by Perkins, circa 1920s-1940s",NAM0992,Perkins ,,circa 1920s-1940s,1920,1949,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3411,K0311,The Adoration of the Child,Sano di Pietro (Ansano di Pietro di Mencio),"Mead Art Museum, Amherst College",52A2_K0311_02_02831.pdf,3411,,
DOC02832,"K0311 - Expert opinion by Suida, 1934",NAM1066,Suida ,,1934,1930,1934,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3411,K0311,The Adoration of the Child,Sano di Pietro (Ansano di Pietro di Mencio),"Mead Art Museum, Amherst College",52A2_K0311_02_02832.pdf,3411,,
DOC02833,"K0311 - Expert opinion by A. Venturi, 1934",NAM1106,A. Venturi ,,1934,1930,1934,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3411,K0311,The Adoration of the Child,Sano di Pietro (Ansano di Pietro di Mencio),"Mead Art Museum, Amherst College",52A2_K0311_02_02833.pdf,3411,,
DOC02834,"K0311 - Alan Burroughs report, circa 1930s-1940s",NAM0130,"Burroughs, Alan",,circa 1930s-1940s,1930,1949,Alan Burroughs Report,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3411,K0311,The Adoration of the Child,Sano di Pietro (Ansano di Pietro di Mencio),"Mead Art Museum, Amherst College",52A2_K0311_03_02834.pdf,3411,,
DOC02835,"K0311 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3411,K0311,The Adoration of the Child,Sano di Pietro (Ansano di Pietro di Mencio),"Mead Art Museum, Amherst College",52A2_K0311_04_02835.pdf,3411,,
DOC02836,"K0311 - Photograph, circa 1930s-1960s",,,,circa 1930s-1960s,1930,1969,Photograph,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3411,K0311,The Adoration of the Child,Sano di Pietro (Ansano di Pietro di Mencio),"Mead Art Museum, Amherst College",52A2_K0311_05_02836.pdf,3411,,
DOC02837,"K0360 - Expert opinion by A. Venturi, 1935",NAM1106,A. Venturi ,,1935,1935,1939,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3458,K0360,Portrait of a Monk,"Girolamo Mazzola Bedoli, Attributed to","Mead Art Museum, Amherst College",52A2_K0360_02_02837.pdf,3458,,
DOC02838,"K0360 - Expert opinion by Perkins, circa 1920s-1940s",NAM0992,Perkins ,,circa 1920s-1940s,1920,1949,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3458,K0360,Portrait of a Monk,"Girolamo Mazzola Bedoli, Attributed to","Mead Art Museum, Amherst College",52A2_K0360_02_02838.pdf,3458,,
DOC02839,"K0360 - Expert opinion by Fiocco et al., circa 1930s-1940s",NAM0819; NAM0915; NAM1066; NAM0919 ,Fiocco; Longhi; Suida; Marle,,circa 1930s-1940s,1930,1949,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3458,K0360,Portrait of a Monk,"Girolamo Mazzola Bedoli, Attributed to","Mead Art Museum, Amherst College",52A2_K0360_02_02839.pdf,3458,,
DOC02840,"K0360 - Alan Burroughs report, circa 1930s-1940s",NAM0130,"Burroughs, Alan",,circa 1930s-1940s,1930,1949,Alan Burroughs Report,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3458,K0360,Portrait of a Monk,"Girolamo Mazzola Bedoli, Attributed to","Mead Art Museum, Amherst College",52A2_K0360_03_02840.pdf,3458,,
DOC02841,"K0360 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3458,K0360,Portrait of a Monk,"Girolamo Mazzola Bedoli, Attributed to","Mead Art Museum, Amherst College",52A2_K0360_04_02841.pdf,3458,,
DOC02842,"K0360 - Photograph, circa 1930s-1960s",,,Murray Keyes,circa 1930s-1960s,1930,1969,Photograph,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3458,K0360,Portrait of a Monk,"Girolamo Mazzola Bedoli, Attributed to","Mead Art Museum, Amherst College",52A2_K0360_05_02842.pdf,3458,,
DOC02843,"K1123B - Expert opinion by Berenson, circa 1920s-1950s",NAM0695,Berenson ,,circa 1920s-1950s,1920,1959,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,2633,K1123B,St. James Major,Dosso Dossi and Assistant,"Mead Art Museum, Amherst College",52A2_K1123B_02_02843.pdf,2633,,
DOC02844,"K1123B - Expert opinion by Perkins, circa 1920s-1940s",NAM0992,Perkins ,,circa 1920s-1940s,1920,1949,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,2633,K1123B,St. James Major,Dosso Dossi and Assistant,"Mead Art Museum, Amherst College",52A2_K1123B_02_02844.pdf,2633,,
DOC02845,"K1123B - Expert opinion by A. Venturi, circa 1920s-1930s",NAM1106,A. Venturi ,,circa 1920-1930s ,1920,1939,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,2633,K1123B,St. James Major,Dosso Dossi and Assistant,"Mead Art Museum, Amherst College",52A2_K1123B_02_02845.pdf,2633,,
DOC02846,"K1123B - Expert opinion by Suida, 1937",NAM1066,Suida ,,1937,1935,1939,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,2633,K1123B,St. James Major,Dosso Dossi and Assistant,"Mead Art Museum, Amherst College",52A2_K1123B_02_02846.pdf,2633,,
DOC02847,"K1123B - Expert opinion by Longhi, 1937",NAM0915,Longhi ,,1937,1935,1939,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,2633,K1123B,St. James Major,Dosso Dossi and Assistant,"Mead Art Museum, Amherst College",52A2_K1123B_02_02847.pdf,2633,,
DOC02848,"K1123B - Expert opinion by Fiocco, circa 1930s-1940s",NAM0819,Fiocco ,,circa 1930s-1940s,1930,1949,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,2633,K1123B,St. James Major,Dosso Dossi and Assistant,"Mead Art Museum, Amherst College",52A2_K1123B_02_02848.pdf,2633,,
DOC02849,"K1123B - Expert opinion by Longhi, circa 1920s-1950s",NAM0915,Longhi ,,circa 1920s-1950s,1920,1959,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,2633,K1123B,St. James Major,Dosso Dossi and Assistant,"Mead Art Museum, Amherst College",52A2_K1123B_02_02849.pdf,2633,,
DOC02850,"K1123B - Alan Burroughs report, circa 1930s-1940s",NAM0130,"Burroughs, Alan",,circa 1930s-1940s,1930,1949,Alan Burroughs Report,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,2633,K1123B,St. James Major,Dosso Dossi and Assistant,"Mead Art Museum, Amherst College",52A2_K1123B_03_02850.pdf,2633,,
DOC02851,"K1123B - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,Murray Keyes,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,2633,K1123B,St. James Major,Dosso Dossi and Assistant,"Mead Art Museum, Amherst College",52A2_K1123B_04_02851.pdf,2633,,
DOC02852,"K1123B - Photograph, circa 1930s-1960s",,,,circa 1930s-1960s,1930,1969,Photograph,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,2633,K1123B,St. James Major,Dosso Dossi and Assistant,"Mead Art Museum, Amherst College",52A2_K1123B_05_02852.pdf,2633,,
DOC02853,"K1151 - Expert opinion by A. Venturi, circa 1920s-1930s",NAM1106,A. Venturi ,,circa 1920-1930s ,1920,1939,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,2659,K1151,Madonna and Child with a Bishop St.,Girolamo da Santa Croce,"Mead Art Museum, Amherst College",52A2_K1151_02_02853.pdf,2659,,
DOC02854,"K1151 - Expert opinion by Fiocco, 1932",NAM0819,Fiocco ,,1932,1930,1934,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,2659,K1151,Madonna and Child with a Bishop St.,Girolamo da Santa Croce,"Mead Art Museum, Amherst College",52A2_K1151_02_02854.pdf,2659,,
DOC02855,"K1151 - Expert opinion by Longhi, circa 1920s-1950s",NAM0915,Longhi ,,circa 1920s-1950s,1920,1959,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,2659,K1151,Madonna and Child with a Bishop St.,Girolamo da Santa Croce,"Mead Art Museum, Amherst College",52A2_K1151_02_02855.pdf,2659,,
DOC02856,"K1151 - Expert opinion by Perkins, circa 1920s-1940s",NAM0992,Perkins ,,circa 1920s-1940s,1920,1949,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,2659,K1151,Madonna and Child with a Bishop St.,Girolamo da Santa Croce,"Mead Art Museum, Amherst College",52A2_K1151_02_02856.pdf,2659,,
DOC02857,"K1151 - Expert opinion by Suida, 1937",NAM1066,Suida ,Murray Keyes,1937,1935,1939,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,2659,K1151,Madonna and Child with a Bishop St.,Girolamo da Santa Croce,"Mead Art Museum, Amherst College",52A2_K1151_02_02857.pdf,2659,,
DOC02858,"K1151 - Expert opinion by Berenson, circa 1920s-1950s",NAM0695,Berenson ,,circa 1920s-1950s,1920,1959,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,2659,K1151,Madonna and Child with a Bishop St.,Girolamo da Santa Croce,"Mead Art Museum, Amherst College",52A2_K1151_02_02858.pdf,2659,,
DOC02859,"K1151 - Alan Burroughs report, circa 1930s-1940s",NAM0130,"Burroughs, Alan",,circa 1930s-1940s,1930,1949,Alan Burroughs Report,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,2659,K1151,Madonna and Child with a Bishop St.,Girolamo da Santa Croce,"Mead Art Museum, Amherst College",52A2_K1151_03_02859.pdf,2659,,
DOC02860,"K1151 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,2659,K1151,Madonna and Child with a Bishop St.,Girolamo da Santa Croce,"Mead Art Museum, Amherst College",52A2_K1151_04_02860.pdf,2659,,
DOC02861,"K1151 - Photograph, circa 1930s-1960s",,,,circa 1930s-1960s,1930,1969,Photograph,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,2659,K1151,Madonna and Child with a Bishop St.,Girolamo da Santa Croce,"Mead Art Museum, Amherst College",52A2_K1151_05_02861.pdf,2659,,
DOC02862,"K1270 - Expert opinion by Suida, circa 1920s-1950s",NAM1066,Suida ,,circa 1920s-1950s,1920,1959,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,2769,K1270,Phoebus,Giuseppe Bazzani,"Mead Art Museum, Amherst College",52A2_K1270_02_02862.pdf,2769,,
DOC02863,"K1270 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,2769,K1270,Phoebus,Giuseppe Bazzani,"Mead Art Museum, Amherst College",52A2_K1270_04_02863.pdf,2769,,
DOC02864,"K1270 - Photograph, circa 1930s-1960s",,,,circa 1930s-1960s,1930,1969,Photograph,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,2769,K1270,Phoebus,Giuseppe Bazzani,"Mead Art Museum, Amherst College",52A2_K1270_05_02864.pdf,2769,,
DOC02865,"K1587 - Alan Burroughs report, circa 1930s-1940s",NAM0130,"Burroughs, Alan",,circa 1930s-1940s,1930,1949,Alan Burroughs Report,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",Also pertains to K1588; K1589,2895,K1587,Laughing Boy,"Domenico Maggiotto, Attributed to","Mead Art Museum, Amherst College",52A2_K1587_03_02865.pdf,2895; 2896; 2897,,
DOC02866,"K1587 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",Also pertains to K1588; K1589,2895,K1587,Laughing Boy,"Domenico Maggiotto, Attributed to","Mead Art Museum, Amherst College",52A2_K1587_04_02866.pdf,2895; 2896; 2897,,
DOC02867,"K1587 - Photograph, circa 1930s-1960s",,,,circa 1930s-1960s,1930,1969,Photograph,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",Also pertains to K1588; K1589,2895,K1587,Laughing Boy,"Domenico Maggiotto, Attributed to","Mead Art Museum, Amherst College",52A2_K1587_05_02867.pdf,2895; 2896; 2897,,
DOC02868,"K1780 - Expert opinion by Longhi, circa 1920s-1950s",NAM0915,Longhi ,,circa 1920s-1950s,1920,1959,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3050,K1780,Portrait of a Bearded Man,Pietro della Vecchia,"Mead Art Museum, Amherst College",52A2_K1780_02_02868.pdf,3050,,
DOC02869,"K1780 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3050,K1780,Portrait of a Bearded Man,Pietro della Vecchia,"Mead Art Museum, Amherst College",52A2_K1780_04_02869.pdf,3050,,
DOC02870,"K1780 - Photograph, circa 1930s-1960s",,,,circa 1930s-1960s,1930,1969,Photograph,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3050,K1780,Portrait of a Bearded Man,Pietro della Vecchia,"Mead Art Museum, Amherst College",52A2_K1780_05_02870.pdf,3050,,
DOC02871,"K1782 - Expert opinion by Longhi, 1950",NAM0915,Longhi ,,1950,1950,1954,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3052,K1782,The Massacre of the Innocents,"Raphael, Follower of","Mead Art Museum, Amherst College",52A2_K1782_02_02871.pdf,3052,,
DOC02872,"K1782 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3052,K1782,The Massacre of the Innocents,"Raphael, Follower of","Mead Art Museum, Amherst College",52A2_K1782_04_02872.pdf,3052,,
DOC02873,"K1782 - Photograph, circa 1930s-1960s",,,,circa 1930s-1960s,1930,1969,Photograph,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3052,K1782,The Massacre of the Innocents,"Raphael, Follower of","Mead Art Museum, Amherst College",52A2_K1782_05_02873.pdf,3052,,
DOC02874,"K1783 - Expert opinion by Longhi, 1950",NAM0915,Longhi ,,1950,1950,1954,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3053,K1783,The Madonna,Giovanni Domenico Cernini,"Mead Art Museum, Amherst College",52A2_K1783_02_02874.pdf,3053,,
DOC02875,"K1783 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3053,K1783,The Madonna,Giovanni Domenico Cernini,"Mead Art Museum, Amherst College",52A2_K1783_04_02875.pdf,3053,,
DOC02876,"K1783 - Photograph, circa 1930s-1960s",,,,circa 1930s-1960s,1930,1969,Photograph,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3053,K1783,The Madonna,Giovanni Domenico Cernini,"Mead Art Museum, Amherst College",52A2_K1783_05_02876.pdf,3053,,
DOC02877,"K1809 - Expert opinion by Longhi, 1950",NAM0915,Longhi ,,1950,1950,1954,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3080,K1809,Portrait of an Old Woman,Giulia Lama,"Mead Art Museum, Amherst College",52A2_K1809_02_02877.pdf,3080,,
DOC02878,"K1809 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3080,K1809,Portrait of an Old Woman,Giulia Lama,"Mead Art Museum, Amherst College",52A2_K1809_04_02878.pdf,3080,,
DOC02879,"K1809 - Photograph, circa 1930s-1960s",,,,circa 1930s-1960s,1930,1969,Photograph,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3080,K1809,Portrait of an Old Woman,Giulia Lama,"Mead Art Museum, Amherst College",52A2_K1809_05_02879.pdf,3080,,
DOC02880,"K1825 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3098,K1825,Portrait of a Man,"Agnolo degli Erri, Attributed to","Mead Art Museum, Amherst College",52A2_K1825_04_02880.pdf,3098,,
DOC02881,"K1825 - Photograph, circa 1930s-1960s",,,Murray Keyes,circa 1930s-1960s,1930,1969,Photograph,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3098,K1825,Portrait of a Man,"Agnolo degli Erri, Attributed to","Mead Art Museum, Amherst College",52A2_K1825_05_02881.pdf,3098,,
DOC02882,"K0179 - Expert opinion by Fiocco, circa 1930s-1940s",NAM0819,Fiocco ,Murray Keyes,circa 1930s-1940s,1930,1949,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3060,K0179,Saints Paul and Augustine,Giusto de'Menabuoi,"Georgia Museum of Art, The University of Georgia",52A2_K0179_02_02882.pdf,3060,,
DOC02883,"K0179 - Expert opinion by Berenson, circa 1920s-1950s",NAM0695,Berenson ,Murray Keyes,circa 1920s-1950s,1920,1959,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3060,K0179,Saints Paul and Augustine,Giusto de'Menabuoi,"Georgia Museum of Art, The University of Georgia",52A2_K0179_02_02883.pdf,3060,,
DOC02884,"K0179 - Expert opinion by Suida, 1935",NAM1066,Suida ,Murray Keyes,1935,1935,1939,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3060,K0179,Saints Paul and Augustine,Giusto de'Menabuoi,"Georgia Museum of Art, The University of Georgia",52A2_K0179_02_02884.pdf,3060,,
DOC02885,"K0179 - Expert opinion by Perkins et al., circa 1920s-1940s",NAM0992; NAM1106,Perkins; A. Venturi,Murray Keyes,circa 1920s-1940s,1947,1976,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3060,K0179,Saints Paul and Augustine,Giusto de'Menabuoi,"Georgia Museum of Art, The University of Georgia",52A2_K0179_02_02885.pdf,3060,,
DOC02886,"K0179 - Expert opinion by Marle, circa 1920s-1930s",NAM0919,Marle ,,circa 1920s-1930s,1920,1939,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3060,K0179,Saints Paul and Augustine,Giusto de'Menabuoi,"Georgia Museum of Art, The University of Georgia",52A2_K0179_02_02886.pdf,3060,,
DOC02887,"K0179 - Expert opinion by Longhi, 1932",NAM0915,Longhi ,,1932,1930,1934,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3060,K0179,Saints Paul and Augustine,Giusto de'Menabuoi,"Georgia Museum of Art, The University of Georgia",52A2_K0179_02_02887.pdf,3060,,
DOC02888,"K0179 - Alan Burroughs report, circa 1930s-1940s",NAM0130,"Burroughs, Alan",,circa 1930s-1940s,1930,1949,Alan Burroughs Report,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3060,K0179,Saints Paul and Augustine,Giusto de'Menabuoi,"Georgia Museum of Art, The University of Georgia",52A2_K0179_03_02888.pdf,3060,,
DOC02889,"K0179 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3060,K0179,Saints Paul and Augustine,Giusto de'Menabuoi,"Georgia Museum of Art, The University of Georgia",52A2_K0179_04_02889.pdf,3060,,
DOC02890,"K0179 - Photograph, circa 1930s-1960s",,,Murray Keyes,circa 1930s-1960s,1930,1969,Photograph,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",,3060,K0179,Saints Paul and Augustine,Giusto de'Menabuoi,"Georgia Museum of Art, The University of Georgia",52A2_K0179_05_02890.pdf,3060,,
DOC02891,"K0231A - Expert opinion by Berenson, circa 1920s-1950s",NAM0695,Berenson ,Murray Keyes,circa 1920s-1950s,1920,1959,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",Also pertains to K231B,3359,K0231A,Saint Catherine of Alexandra,Giusto de'Menabuoi,"Georgia Museum of Art, The University of Georgia",52A2_K0231A_02_02891.pdf,3359; 3679,,
DOC02892,"K0231A - Expert opinion by Suida, circa 1920s-1950s",NAM1066,Suida ,Murray Keyes,circa 1920s-1950s,1920,1959,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",Also pertains to K231B,3359,K0231A,Saint Catherine of Alexandra,Giusto de'Menabuoi,"Georgia Museum of Art, The University of Georgia",52A2_K0231A_02_02892.pdf,3359; 3679,,
DOC02893,"K0231A - Expert opinion by Marle, circa 1920s-1930s",NAM0919,Marle ,Murray Keyes,circa 1920s-1930s,1920,1939,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",Also pertains to K231B,3359,K0231A,Saint Catherine of Alexandra,Giusto de'Menabuoi,"Georgia Museum of Art, The University of Georgia",52A2_K0231A_02_02893.pdf,3359; 3679,,
DOC02894,"K0231A - Expert opinion by Fiocco, circa 1930s-1940s",NAM0819,Fiocco ,Murray Keyes,circa 1930s-1940s,1930,1949,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",Also pertains to K231B,3359,K0231A,Saint Catherine of Alexandra,Giusto de'Menabuoi,"Georgia Museum of Art, The University of Georgia",52A2_K0231A_02_02894.pdf,3359; 3679,,
DOC02895,"K0231A - Expert opinion by Perkins et al., circa 1920s-1940s",NAM0992; NAM1106,Perkins; A. Venturi,,circa 1920s-1940s,1948,1977,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",Also pertains to K231B,3359,K0231A,Saint Catherine of Alexandra,Giusto de'Menabuoi,"Georgia Museum of Art, The University of Georgia",52A2_K0231A_02_02895.pdf,3359; 3679,,
DOC02896,"K0231A - Expert opinion by Longhi, 1932",NAM0915,Longhi ,,1932,1930,1934,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A3 Kress Collection Object Files - Other Locations",Also pertains to K231B,3359,K0231A,Saint Catherine of Alexandra,Giusto de'Menabuoi,"Georgia Museum of Art, The University of Georgia",52A2_K0231A_02_02896.pdf,3359; 3679,,
